,organism,protein ,Protein Type,uniprot,Alt. Names,gene ,CST_ID
126,mouse,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B","EC 3.1.4.17; Membrane protein, integral; Membrane protein, multi-pass; Nucleotide Metabolism - purine; Phosphodiesterase",Q61409,"9830102A01Rik; AI847709; CGI-PDE B; CGIPDE1; cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B; cGMP-inhibited 3',5'-cyclic phosphodiesterase B; Cyclic GMP-inhibited phosphodiesterase B; OTTMUSP00000031097; Pde3b; phosphodiesterase 3B, cGMP-inhibited",Pde3b,1790
127,human,"cGMP-specific 3',5'-cyclic phosphodiesterase",EC 3.1.4.35; Nucleotide Metabolism - purine; Phosphodiesterase,O76074,"CGB-PDE; cGMP-binding cGMP-specific 3',5'-cyclic nucleotide phosphodiesterase; cGMP-binding cGMP-specific phosphodiesterase; cGMP-specific 3',5'-cyclic phosphodiesterase; cGMP-specific phosphodiesterase PDE5A2; cGMP-specific phosphodiesterase type 5A; CN5A; PDE5; PDE5A; PDE5A1; phosphodiesterase 5A; phosphodiesterase 5A, cGMP-specific; phosphodiesterase isozyme 5",PDE5A,1026
128,human,Platelet-derived growth factor receptor alpha,"EC 2.7.10.1; Kinase, protein; Membrane protein, integral; Oncoprotein; PDGFR family; Protein kinase, TK; Protein kinase, tyrosine (receptor); TK group",P16234,"Alpha platelet-derived growth factor receptor; Alpha-type platelet-derived growth factor receptor; CD140; CD140 antigen-like family member A; CD140A; CD140a antigen; MGC74795; PDGF-R-alpha; PDGFR alpha; PDGFR-2; PDGFR-alpha; PDGFR2; PDGFRA; PDGFRalpha; PGFRA; platelet derived growth factor receptor alpha; Platelet-derived growth factor alpha receptor; Platelet-derived growth factor receptor 2; Platelet-derived growth factor receptor alpha; platelet-derived growth factor receptor, alpha polypeptide; rearranged-in-hypereosinophilia-platelet derived growth factor receptor alpha fusion protein; RHEPDGFRA",PDGFRA,1027
129,mouse,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial","Amino Acid Metabolism - valine, leucine and isoleucine biosynthesis; Carbohydrate Metabolism - butanoate; Carbohydrate Metabolism - citrate (TCA) cycle; Carbohydrate Metabolism - glycolysis and gluconeogenesis; Carbohydrate Metabolism - pyruvate; EC 1.2.4.1; Mitochondrial; Oxidoreductase",P35486,"ODPA; OTTMUSP00000020974; Pdha; Pdha-1; Pdha1; PDHE1-A type I; pyruvate dehydrogenase E1 alpha 1; Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial; pyruvate dehydrogenase E1alpha subunit",Pdha1,1784
130,human,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2","Carbohydrate Metabolism - fructose and mannose; EC 2.7.1.105; EC 3.1.3.46; Kinase, other; Motility/polarity/chemotaxis; Phosphatase (non-protein)",O60825,"6-phosphofructo-2-kinase; 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2; 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2; 6PF-2-K/Fru-2,6-P2ase 2; 6PF-2-K/Fru-2,6-P2ase heart-type isozyme; DKFZp781D2217; F262; Fructose-2,6-bisphosphatase; fructose-2,6-bisphosphatase, cardiac isozyme; MGC138308; MGC138310; PFK-2/FBPase-2; PFK/FBPase 2; PFKFB, cardiac; PFKFB2",PFKFB2,1185
131,human,Progesterone receptor,DNA-binding; Nuclear receptor; Transcription factor,P06401,NR3C3; Nuclear receptor subfamily 3 group C member 3; PGR; PR; PRGR; Progesterone receptor,PGR,1033
132,mouse,Cytosolic phospholipase A2,EC 3.1.1.4; EC 3.1.1.5; Lipid Metabolism - alpha-linolenic acid; Lipid Metabolism - arachidonic acid; Lipid Metabolism - ether lipid; Lipid Metabolism - glycerophospholipid; Lipid Metabolism - linoleic acid; Phospholipase,P47713,"cPL; Cpla2; cPLA2-alpha; cPLA2alpha; Cytosolic phospholipase A2; Cytosolic phospholipase A2 (CPLA2); cytosolic PLA2; Lysophospholipase; OTTMUSP00000017675; PA24A; Phosphatidylcholine 2-acylhydrolase; Phospholipase A2; Phospholipase A2 group IVA; phospholipase A2, group 4; phospholipase A2, group IVA (cytosolic, calcium-dependent); Pla; Pla2g4; Pla2g4a; Type IV PLA2",Pla2g4a,1715
133,human,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",Carbohydrate Metabolism - inositol phosphate; EC 3.1.4.11; Motility/polarity/chemotaxis; Phospholipase,P19174,"1-phosphatidyl-D-myo-inositol-4,5-bisphosphate; 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1; 1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma 1; 1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-1; inositoltrisphosphohydrolase; monophosphatidylinositol phosphodiesterase; NCKAP3; phosphatidylinositol phospholipase C; phosphoinositidase C; phosphoinositide phospholipase C; Phosphoinositide phospholipase C-gamma-1; phospholipase C gamma 1; phospholipase C, gamma 1; phospholipase C, gamma 1 (formerly subtype 148); phospholipase C-148; Phospholipase C-gamma-1; Phospholipase C-II; PLC-148; PLC-gamma-1; PLC-II; PLC1; PLC148; PLCG1; PLCgamma1; triphosphoinositide phosphodiesterase",PLCG1,1029
134,human,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",Carbohydrate Metabolism - inositol phosphate; EC 3.1.4.11; Motility/polarity/chemotaxis; Phospholipase,P16885,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2; 1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-2; APLAID; FCAS3; Phosphoinositide phospholipase C-gamma-2; phospholipase C gamma 2; phospholipase C, gamma 2 (phosphatidylinositol-specific); phospholipase C, gamma 2 (phosphatidylyinositol-specific); Phospholipase C-gamma-2; Phospholipase C-IV; PLC-gamma-2; PLC-IV; PLCG2",PLCG2,1202
135,human,DNA-directed RNA polymerase II subunit RPB1,EC 2.7.7.48; EC 2.7.7.6; Nucleotide Metabolism - purine; Nucleotide Metabolism - pyrimidine; Transcription initiation complex; Transferase,P24928,"DNA-directed RNA polymerase II largest subunit, RNA polymerase II 220 kd subunit; DNA-directed RNA polymerase II subunit A; DNA-directed RNA polymerase II subunit RPB1; DNA-directed RNA polymerase III largest subunit; hRPB220; hsRPB1; MGC75453; NEDHIB; POL II; POLR2; POLR2A; POLRA; polymerase (RNA) II (DNA directed) polypeptide A, 220kDa; polymerase (RNA) II subunit A; RNA polymerase II subunit A; RNA polymerase II subunit B1; RNA-directed RNA polymerase II subunit RPB1; RNAPII; RPB1; RPBh1; RpIILS; RPO2; RPOL2",POLR2A,1039
136,mouse,DNA-directed RNA polymerase II subunit RPB1,EC 2.7.7.48; EC 2.7.7.6; Nucleotide Metabolism - purine; Nucleotide Metabolism - pyrimidine; Transcription initiation complex; Transferase,P08775,220kD; 220kDa; DNA-directed RNA polymerase II A; DNA-directed RNA polymerase II subunit A; DNA-directed RNA polymerase II subunit RPB1; DNA-directed RNA polymerase III largest subunit; POL II; Polr2a; polymerase (RNA) II (DNA directed) polypeptide A; RNA polymerase II 1; RNA polymerase II subunit B1; RNAPII; Rpb1; Rpii215; Rpo; Rpo2-1,Polr2a,1594
137,human,Peroxisome proliferator-activated receptor gamma,DNA-binding; Nuclear receptor; Transcription factor,P37231,CIMT1; GLM1; NR1C3; Nuclear receptor subfamily 1 group C member 3; peroxisome proliferative activated receptor gamma; peroxisome proliferator activated receptor gamma; peroxisome proliferator-activated nuclear receptor gamma variant 1; Peroxisome proliferator-activated receptor gamma; peroxisome proliferator-activated receptor gamma 1; peroxisome proliferator-activated receptor-gamma 5; peroxisome proliferator-activated receptor-gamma splicing; PPAR gamma; PPAR-gamma; PPARG; PPARG1; PPARG2; PPARG5; PPARgamma,PPARG,1032
138,human,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,"EC 3.1.3.16; EC 3.1.3.53; Motility/polarity/chemotaxis; Nucleolus; Protein phosphatase, Ser/Thr (non-receptor)",P62140,"epididymis secretory sperm binding protein Li 80p; HEL-S-80p; MGC3672; MP; myosin phosphatase; NSLH2; PP-1B; PP1B; PP1beta; PP1c; PPP1beta; PPP1CB; PPP1CD; protein phosphatase 1 catalytic subunit beta; protein phosphatase 1, catalytic subunit, beta isoform; protein phosphatase 1, catalytic subunit, beta isozyme; protein phosphatase 1, catalytic subunit, delta isoform; protein phosphatase 1-beta; protein phosphatase 1-delta; serine/threonine protein phosphatase PP1-beta catalytic subunit; Serine/threonine-protein phosphatase PP1-beta catalytic subunit",PPP1CB,1689
139,human,Protein phosphatase 1 regulatory subunit 12A,"Motility/polarity/chemotaxis; Protein phosphatase, regulatory subunit",O14974,"GUBS; M130; MBS; MGC133042; myosin binding subunit; Myosin phosphatase target subunit 1; myosin phosphatase, target subunit 1; Myosin phosphatase-targeting subunit 1; MYPT1; PPP1R12A; Protein phosphatase 1 regulatory subunit 12A; protein phosphatase 1, regulatory (inhibitor) subunit 12A; Protein phosphatase myosin-binding subunit",PPP1R12A,1748
140,mouse,Protein phosphatase 1 regulatory subunit 12A,"Motility/polarity/chemotaxis; Protein phosphatase, regulatory subunit",Q9DBR7,"1200015F06Rik; 5730577I22Rik; AA792106; AV099298; D10Ertd625; D10Ertd625e; MGC159084; Myosin phosphatase target subunit 1; myosin phosphatase, target subunit 1; Myosin phosphatase-targeting subunit 1; Mypt; Mypt1; Ppp1r12a; Protein phosphatase 1 regulatory subunit 12A; protein phosphatase 1, regulatory (inhibitor) subunit 12A; protein phosphatase 1, regulatory subunit 12A",Ppp1r12a,1749
141,mouse,Protein phosphatase 1 regulatory subunit 1B,"Motility/polarity/chemotaxis; Protein phosphatase, regulatory subunit",Q60829,"AU040756; Dar; DARP; DARPP-32; Darpp32; Dopamine- and cAMP-regulated neuronal phosphoprotein; OTTMUSP00000002442; Ppp1r1b; PPR1B; Protein phosphatase 1 regulatory subunit 1B; protein phosphatase 1, regulatory (inhibitor) subunit 1B; protein phosphatase 1, regulatory inhibitor subunit 1B",Ppp1r1b,1522
142,human,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,"EC 3.1.3.16; Motility/polarity/chemotaxis; Protein phosphatase, Ser/Thr (non-receptor)",P67775,"NEDLBA; PP2A-alpha; PP2AA; PP2Ac; PP2CA; PP2Calpha; PPP2CA; protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform; protein phosphatase 2 catalytic subunit alpha; protein phosphatase 2, catalytic subunit, alpha isoform; protein phosphatase 2, catalytic subunit, alpha isozyme; protein phosphatase 2A catalytic subunit, alpha isoform; Replication protein C; RP-C; serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform; Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform",PPP2CA,1685
143,rat,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform,"EC 3.1.3.16; Protein phosphatase, Ser/Thr (non-receptor)",P20651,"Calcineurin subunit A beta; Calmodulin-dependent calcineurin A subunit beta isoform; Calna2; CAM-PRP catalytic subunit; PP2BB; Ppp3cb; protein phosphatase 3, catalytic subunit, beta isoform; Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform",Ppp3cb,1368
144,human,Serine/threonine-protein phosphatase 4 catalytic subunit,"EC 3.1.3.16; Protein phosphatase, Ser/Thr (non-receptor)",P60510,"epididymis secretory sperm binding protein; PP-X; PP4; PP4C; PPH3; PPP4; PPP4C; PPX; protein phosphatase 4 (formerly X), catalytic subunit; protein phosphatase 4 catalytic subunit; protein phosphatase 4, catalytic subunit; Protein phosphatase X; protein phosphatase X, catalytic subunit; Serine/threonine-protein phosphatase 4 catalytic subunit",PPP4C,1376
145,mouse,Serine/threonine-protein phosphatase 5,"EC 3.1.3.16; Protein phosphatase, Ser/Thr (non-receptor)",Q60676,"ANP receptor; AU020526; OTTMUSP00000017740; PP5; PPP5; Ppp5c; PPT; protein phosphatase 5, catalytic subunit; Protein phosphatase T; Serine/threonine-protein phosphatase 5",Ppp5c,1378
146,human,Serine/threonine-protein phosphatase 6 catalytic subunit,"EC 3.1.3.16; Motility/polarity/chemotaxis; Protein phosphatase, Ser/Thr (non-receptor)",O00743,"FLJ92648; MGC12249; PP6; PP6C; PPP6; PPP6C; protein phosphatase 6 catalytic subunit; protein phosphatase 6, catalytic subunit; serine/threonine protein phosphatase catalytic subunit; Serine/threonine-protein phosphatase 6 catalytic subunit; Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed",PPP6C,1379
147,human,PR domain zinc finger protein 1,"C2H2-type zinc finger protein; DNA-binding; Methyltransferase, protein lysine, predicted; Transcription regulation; Transcription, coactivator/corepressor",O75626,"B-lymphocyte-induced maturation protein 1; Beta-interferon gene positive regulatory domain I-binding factor; beta-interferon gene positive-regulatory domain I binding factor; BLIMP-1; BLIMP1; MGC118922; MGC118923; MGC118924; MGC118925; Positive regulatory domain I-binding factor 1; PR domain 1; PR domain containing 1, with ZNF domain; PR domain zinc finger protein 1; PR domain-containing protein 1; PR-domain zinc finger protein 1; PR/SET domain 1; PRDI-BF1; PRDI-binding factor 1; PRDI-binding factor-1; PRDM1",PRDM1,1157
148,mouse,5'-AMP-activated protein kinase subunit beta-1,"Autophagy; Protein kinase, regulatory subunit",Q9R078,"1300015D22Rik; 5'-AMP-activated protein kinase subunit beta-1; AAKB1; AMPK subunit beta-1; AMPKb; AMPKB1; AU021155; E430008F22; OTTMUSP00000015612; OTTMUSP00000015613; Prkab1; protein kinase, AMP-activated, beta 1 non-catalytic subunit",Prkab1,1409
149,mouse,cAMP-dependent protein kinase catalytic subunit alpha,"AGC group; EC 2.7.11.11; Kinase, protein; PKA family; Protein kinase, AGC; Protein kinase, Ser/Thr (non-receptor)",P05132,"cAMP-dependent protein kinase; cAMP-dependent protein kinase catalytic subunit alpha; cAMP-dependent protein kinase catalytic subunit C alpha 2; Cs; KAPCA; PKA; PKA C-alpha; Pkaca; PKCD; Prkaca; protein kinase A; protein kinase, cAMP dependent, catalytic, alpha; sperm cAMP-dependent protein kinase catalytic subunit",Prkaca,1719
150,mouse,Protein kinase C theta type,"AGC group; EC 2.7.11.13; Kinase, protein; PKC family; PKCd subfamily; Protein kinase, AGC; Protein kinase, Ser/Thr (non-receptor)",Q02111,"A130035A12Rik; AW494342; KPCT; nPKC-theta; OTTMUSP00000012133; Pkc; PKC theta; PKC-; PKC-0; PKC-the; PKC-theta; Pkcq; PKCT; PKCthe; PKCtheta; Prkcq; Protein kinase C theta type; protein kinase C, theta",Prkcq,1215
151,human,Presenilin-2,"Cell surface; EC 3.4.23.-; Membrane protein, integral; Membrane protein, multi-pass; Protease",P49810,AD3L; AD3LP; AD4; AD5; Alzheimer disease 4; Alzheimer's disease 3-like; CMD1V; E5-1; presenilin 2; presenilin 2 (Alzheimer disease 4); Presenilin-2; Presenilin-2 CTF subunit; Presenilin-2 NTF subunit; PS-2; PS2; PSEN2; PSN2; PSNL2; STM-2; STM2,PSEN2,1648
152,mouse,Focal adhesion kinase 1,"EC 2.7.10.2; Fak family; Kinase, protein; Protein kinase, TK; Protein kinase, tyrosine (non-receptor); TK group",P34152-2,Fad; Fadk; FADK 1; Fak; FAK iso2; Fak1; Focal adhesion kinase 1; Focal adhesion kinase-related nonkinase; focal ashension kinase 1; FRNK; Kiaa4203; mKIAA4203; p125FAK; pp125FAK; Protein-tyrosine kinase 2; Ptk2; PTK2 protein tyrosine kinase 2,Ptk2,1296
153,human,Tyrosine-protein phosphatase non-receptor type 1,"EC 3.1.3.48; Motility/polarity/chemotaxis; Phosphatase; Protein phosphatase, tyrosine (non-receptor)",P18031,"protein tyrosine phosphatase 1B; protein tyrosine phosphatase non-receptor type 1; protein tyrosine phosphatase, non-receptor type 1; protein tyrosine phosphatase, placental; Protein-tyrosine phosphatase 1B; PTN1; PTP-1B; PTP1B; PTPN1; Tyrosine-protein phosphatase non-receptor type 1",PTPN1,1134
154,mouse,Tyrosine-protein phosphatase non-receptor type 5,"EC 3.1.3.48; Membrane protein, multi-pass; Motility/polarity/chemotaxis; Protein phosphatase, tyrosine (non-receptor)",P54830,"Neural-specific protein-tyrosine phosphatase; OTTMUSP00000017711; OTTMUSP00000017712; protein tyrosine phosphatase, non-receptor type 5; PTN5; Ptpn5; STEP; Striatum-enriched protein-tyrosine phosphatase; Tyrosine-protein phosphatase non-receptor type 5",Ptpn5,1540
155,human,Tyrosine-protein phosphatase non-receptor type 6,"EC 3.1.3.48; Motility/polarity/chemotaxis; Protein phosphatase, tyrosine (non-receptor)",P29350,"HCP; HCPH; hematopoietic cell phosphatase; Hematopoietic cell protein-tyrosine phosphatase; HPTP1C; protein tyrosine phosphatase non-receptor type 6; protein tyrosine phosphatase, non-receptor type 6; Protein-tyrosine phosphatase 1C; Protein-tyrosine phosphatase SHP-1; PTN6; PTP-1C; PTP1C; PTPN6; SH-PTP1; SHP-1; SHP-1L; SHP1; Tyrosine-protein phosphatase non-receptor type 6",PTPN6,1224
156,mouse,Tyrosine-protein phosphatase non-receptor type 6,"EC 3.1.3.48; Motility/polarity/chemotaxis; Protein phosphatase, tyrosine (non-receptor)",P29351,"70Z-SHP; Hcp; Hcph; Hematopoietic cell protein-tyrosine phosphatase; hemopoietic cell phosphatase; me; motheaten; protein tyrosine phosphatase, non-receptor type 6; Protein-tyrosine phosphatase 1C; PTN6; Ptp; PTP-1C; Ptp1C; Ptpn6; PTPTY-42; SH-PTP1; SH2 phosphatase 1; SHP; SHP-1; Tyrosine-protein phosphatase non-receptor type 6",Ptpn6,1568
157,human,Tyrosine-protein phosphatase non-receptor type 7,"EC 3.1.3.48; Motility/polarity/chemotaxis; Protein phosphatase, tyrosine (non-receptor)",P35236,"BPTP-4; dual specificity phosphatase 1; Hematopoietic protein-tyrosine phosphatase; HEPTP; LC-PTP; LPTP; protein tyrosine phosphatase non-receptor type 7; protein tyrosine phosphatase, non-receptor type 7; Protein-tyrosine phosphatase LC-PTP; protein-tyrosine phosphatase, nonreceptor-type, stress induced; PTN7; PTPN7; PTPNI; Tyrosine-protein phosphatase non-receptor type 7",PTPN7,1223
158,human,Receptor-type tyrosine-protein phosphatase alpha,"EC 3.1.3.48; Membrane protein, integral; Motility/polarity/chemotaxis; Receptor protein phosphatase, tyrosine",P18433,"HEPTP; HLPR; HPTPA; HPTPalpha; Leukocyte common antigen-related peptide (protein tyrosine phosphate); LRP; protein tyrosine phosphatase receptor type A; protein tyrosine phosphatase, receptor type, A; protein tyrosine phosphatase, receptor type, alpha polypeptide; Protein-tyrosine phosphatase alpha; PTPA; PTPase-alpha; PTPLCA-related phosphatase; PTPRA; PTPRL2; R-PTP-alpha; Receptor-type tyrosine-protein phosphatase alpha; RPTPA; tyrosine phosphatase alpha",PTPRA,1307
159,human,Cell cycle checkpoint protein RAD17,Cell cycle regulation,O75943,CCYC; cell cycle checkpoint protein (RAD17); Cell cycle checkpoint protein RAD17; FLJ41520; hRad17; R24L; RAD1 homolog; RAD17; RAD17 checkpoint clamp loader component; RAD17 homolog; RAD17 homolog (S. pombe); Rad17-like protein; RAD17SP; RAD24; RF-C activator 1 homolog; RF-C/activator 1 homolog,RAD17,1092
160,mouse,Retinoblastoma-like protein 2,"Transcription, coactivator/corepressor; Tumor suppressor",Q64700,130 kDa retinoblastoma-associated protein; p13; p130; pRb2; RB transcriptional corepressor like 2; Rb-like 2; Rb2; Rbl2; RBR-2; retinoblastoma-like 2; Retinoblastoma-like protein 2; Retinoblastoma-related protein 2,Rbl2,1789
161,mouse,Radixin,Cytoskeletal; Motility/polarity/chemotaxis,P26043,AA516625; ESP10; RADI; Radixin; Rdx,Rdx,1603
162,rat,Regulator of G-protein signaling 19,"GAP; GAP, RGS",O70521,calcium/calmodulin-dependent protein kinase I; Camki; G alpha interacting protein; G-alpha-interacting protein; GAIP; MGC108699; Regulator of G-protein signaling 19; regulator of G-protein signalling 19; RGS19,Rgs19,1653
163,human,Transforming protein RhoA,"G protein; G protein, monomeric; G protein, monomeric, Rho; Motility/polarity/chemotaxis; Oncoprotein",P61586,"Aplysia ras-related homolog 12; ARH12; ARHA; EDFAOB; epididymis secretory sperm binding protein; h12; oncogene RHO H12; ras homolog family member A; ras homolog gene family, member A; Rho cDNA clone 12; RHO12; RHOA; RHOH12; small GTP binding protein RhoA; Transforming protein RhoA",RHOA,1038
164,mouse,Transforming protein RhoA,"G protein; G protein, monomeric; G protein, monomeric, Rho; Motility/polarity/chemotaxis; Oncoprotein",Q9QUI0,"aplysia ras-related homolog A; aplysia ras-related homolog A1; aplysia ras-related homolog A2; Arha; Arha1; Arha2; ras homolog A1; ras homolog A2; ras homolog family member A; ras homolog gene family, member A; ras homolog gene family, member A1; ras homolog gene family, member A2; Rho family GTPase; Rhoa; Transforming protein RhoA",Rhoa,1599
165,human,Rho-related GTP-binding protein RhoC,"G protein; G protein, monomeric; G protein, monomeric, Rho; Motility/polarity/chemotaxis",P08134,"ARH9; ARHC; epididymis secretory sperm binding protein; h9; MGC1448; MGC61427; oncogene RHO H9; ras homolog family member C; ras homolog gene family, member C; RAS-related homolog 9; Rho cDNA clone 9; Rho-related GTP-binding protein RhoC; RHOC; rhoC GTPase; RHOH9; small GTP binding protein RhoC",RHOC,1148
166,human,Tyrosine-protein kinase transmembrane receptor ROR2,"EC 2.7.10.1; Kinase, protein; Membrane protein, integral; Protein kinase, TK; Protein kinase, tyrosine (receptor); Ror family; TK group",Q01974,"BDB; BDB1; MGC163394; neurotrophic tyrosine kinase receptor-related 2; Neurotrophic tyrosine kinase, receptor-related 2; NTRKR2; receptor tyrosine kinase like orphan receptor 2; receptor tyrosine kinase-like orphan receptor 2; ROR2; Tyrosine-protein kinase transmembrane receptor ROR2",ROR2,1127
167,mouse,Small ribosomal subunit protein eS6,Translation,P62754,40S ribosomal protein S6; MGC102571; MGC103209; OTTMUSP00000008183; Phosphoprotein NP33; ribosomal protein S6; Rps6; RS6; S6; S6R; Small ribosomal subunit protein eS6,Rps6,1574
168,mouse,Ribosomal protein S6 kinase alpha-1,"AGC group; EC 2.7.11.1; Kinase, protein; Protein kinase, AGC; Protein kinase, Ser/Thr (non-receptor); RSK family; RSKp90 subfamily; Translation",P18653,"90 kDa ribosomal protein S6 kinase 1; KS6A1; MAP kinase-activated protein kinase 1a; MAPK-activated protein kinase 1a; MAPKAP kinase 1a; MAPKAPK-1a; Mapkapk1a; OTTMUSP00000010160; p90-RSK 1; p90-Rsk1; p90rsk; p90RSK1; p90S6K; Ribosomal protein S6 kinase alpha-1; ribosomal protein S6 kinase polypeptide 1; Ribosomal protein S6 kinase, 90kD, 1; ribosomal protein S6 kinase, 90kD, polypeptide 1; Ribosomal S6 kinase 1; Rps6ka1; rsk; RSK-1; Rsk1; S6K-alpha-1",Rps6ka1,1143
169,rat,Ribosomal protein S6 kinase alpha-1,"AGC group; EC 2.7.11.1; Kinase, protein; Protein kinase, AGC; Protein kinase, Ser/Thr (non-receptor); RSK family; RSKp90 subfamily; Translation",Q63531,90 kDa ribosomal protein S6 kinase 1; KS6A1; MAP kinase-activated protein kinase 1a; MAPK-activated protein kinase 1a; MAPKAP kinase 1a; MAPKAPK-1a; Mapkapk1a; p90-RSK 1; p90RSK; p90RSK1; p90S6K; pp90RSK1; Ribosomal protein S6 kinase alpha-1; ribosomal protein S6 kinase polypeptide 1; Ribosomal S6 kinase 1; Rps6ka1; RSK-1; Rsk1; S6 protein kinase (Rsk-1); S6K-alpha 1; S6K-alpha-1,Rps6ka1,1270
170,human,Ras-related protein R-Ras,"G protein; G protein, monomeric; G protein, monomeric, Ras; Motility/polarity/chemotaxis",P10301,Oncogene RRAS; p23; R-Ras; ras family small GTP binding protein R-Ras; RAS related; Ras-related protein R-Ras; related RAS viral (r-ras) oncogene homolog; RRAS,RRAS,1213
171,mouse,Syndecan-2,"Cell adhesion; Cell surface; Membrane protein, integral; Motility/polarity/chemotaxis",P43407,"4833414L08Rik; AA960457; CD362; fibro; Fibroglycan; heparan sulfate proteoglycan 1, cell surface-associated (fibroglycan); Heparan sulfate proteoglycan core protein; Hsp; HSPG; Hspg1; Sdc2; Syn; SYND2; syndecan 2; Syndecan-2",Sdc2,1168
172,human,Syndecan-2,"Cell adhesion; Cell surface; Membrane protein, integral; Motility/polarity/chemotaxis",P34741,"CD362; cell surface-associated heparan sulfate proteoglycan 1; Fibroglycan; heparan sulfate proteoglycan 1, cell surface-associated; Heparan sulfate proteoglycan core protein; HSPG; HSPG1; SDC2; SYND2; syndecan 2; syndecan proteoglycan 2; Syndecan-2",SDC2,1514
173,mouse,Serine/threonine-protein kinase Sgk3,"AGC group; EC 2.7.11.1; Kinase, protein; Protein kinase, AGC; Protein kinase, Ser/Thr (non-receptor); SGK family",Q9ERE3,2510015P22Rik; A330005P07Rik; Cisk; Cytokine-independent survival kinase; fy; fz; serine/threonine protein kinase CISK; Serine/threonine-protein kinase Sgk3; serum/glucocorticoid regulated kinase 3; Serum/glucocorticoid-regulated kinase 3; Serum/glucocorticoid-regulated kinase-like; Sgk3; Sgkl,Sgk3,1459
174,human,Apoptosis regulatory protein Siva,Apoptosis,O15304,"Apoptosis regulatory protein Siva; CD27-binding (Siva) protein; CD27-binding protein; CD27BP; SIVA; Siva-1; Siva-2; SIVA1; SIVA1 apoptosis inducing factor; SIVA1, apoptosis-inducing factor",SIVA1,1187
175,mouse,Mothers against decapentaplegic homolog 1,DNA-binding; Transcription factor,P70340,AI528653; Dwarfin-A; Dwf-A; Mad; MAD homolog 1; MAD homolog 1 (Drosophila); Mad-related protein 1; Mad1; Madh; Madh1; Madr1; Mlp1; mMad1; Mothers against decapentaplegic homolog 1; Mothers against DPP homolog 1; Mothers-against-DPP-related 1; MusMLP; OTTMUSP00000023243; SMAD 1; SMAD family member 1; Smad1,Smad1,1558
176,mouse,Mothers against decapentaplegic homolog 3,DNA-binding; Nuclear receptor co-regulator; Transcription factor,Q8BUN5,AU022421; MAD homolog 3; MAD homolog 3 (Drosophila); Mad3; Madh; Madh3; mMad3; Mothers against decapentaplegic homolog 3; Mothers against DPP homolog 3; OTTMUSP00000023917; SMAD 3; SMAD family member 3; Smad3,Smad3,1556
177,human,Mothers against decapentaplegic homolog 5,"DNA-binding; Transcription, coactivator/corepressor",Q99717,"DKFZp781C1895; DKFZp781O1323; Dwfc; hSmad5; JV5-1; MAD homolog 5; MAD, mothers against decapentaplegic homolog 5; MADH5; Mothers against decapentaplegic homolog 5; mothers against decapentaplegic, drosophila, homolog of, 5; Mothers against DPP homolog 5; SMA- and MAD-related protein 5; SMAD 5; SMAD family member 5; SMAD, mothers against DPP homolog 5; SMAD5",SMAD5,1046
178,mouse,Mothers against decapentaplegic homolog 5,"DNA-binding; Transcription, coactivator/corepressor",P97454,1110051M15Rik; AI451355; Dwarfin-C; Dwf-C; MAD homolog 5; MAD homolog 5 (Drosophila); Madh; Madh5; Mothers against decapentaplegic homolog 5; Mothers against DPP homolog 5; Msmad5; Mus; MusMLP; OTTMUSP00000022970; OTTMUSP00000022971; OTTMUSP00000022972; SMAD 5; SMAD family member 5; Smad5,Smad5,1552
179,mouse,SNARE-associated protein Snapin,Vesicle,Q9Z266,"25kDa; AA407989; AV026596; Biogenesis of lysosome-related organelles complex 1 subunit 7; Bloc; BLOC-1 subunit 7; Bloc1s7; OTTMUSP00000024888; Sna; SNAP-associated protein; Snap25bp; Snapap; Snapin; SNAPN; SNARE-associated protein Snapin; synaptosomal-associated protein 25 binding protein; Synaptosomal-associated protein 25-binding protein; synaptosomal-associated protein, 25 kDa, binding protein",Snapin,1169
180,human,Beta-synuclein,Adaptor/scaffold,Q16143,"Beta-synuclein; I(2)-synuclein; SNCB; synuclein beta; synuclein, beta; SYUB",SNCB,1419
